"一哄而上","没有经过认真准备和严密组织，一下子行动起来。同“一哄而起”。"
"三人成虎","三个人都说街市上有老虎，别人便以为真有老虎。"
"轻重倒置","把轻重、主次的位置弄颠倒了。"
"感同身受","心中感激，如同亲身受到恩惠一样。也指如同亲身感受到一样。"
"秣马厉兵","磨快兵器，喂饱战马。指作好战斗准备。"
"洋洋大观","形容美好的事物众多丰盛。"
"双管齐下","本指画画儿时两管笔同时并用。"
"跌宕起伏","形容事物曲折起伏，富于变化。"
"心向往之","对某人某事或某种境界心里很向往。形容内心思念仰慕。"
"感人肺腑","肺腑：指内心。形容使人内心深受感动。"
"粗制滥造","滥：胡乱地。马虎草率地制造产品或做事情。"
"休戚相关","休：欢乐。戚：忧愁。形容关系密切，祸福、利害一致。"
"起死回生","使死人或死东西复活。多形容医术高明，也形容挽救了看来没有希望的事情。"
"生机勃勃","生机：生命力，活力。勃勃：生命力旺盛的样子。形容生命力旺盛，或充满活力。"
"撼天震地","天地摇晃震动。形容声势、气魄、力量等极大。"
"大展宏图","宏图：远大的设想、宏伟的计划。实施远大的设想、宏伟的计划。"
"此呼彼应","此：这里。彼：那里。这里呼唤，那里响应。形容联系紧密，互相配合行动。"
"出神入化","化：化境，极高的境界。超出于神妙，进入化境。形容技艺达到了绝妙的境地。"
"变本加厉","本：原来，本来。厉：厉害。原意是在本来的基础上更加发展。现形容情况变得比原来更加严重。"
"低头折节","低下头，降低身份，去讨好人。"
"名利双收","名：名声，声誉。利：利益。又有名又有利。"
"无人问津","没人探问渡口。"
"慎之又慎","谨慎了还要谨慎。指非常谨慎。"
"一清二楚","十分清楚、明白。"
"众志成城","众志：众人的意愿。城：城墙。众人意志统一，就能像城墙一样坚固。"
"出人头地","超出一般人，高人一等。"
"错落有致","参差交错而富有情趣。形容设计、布局等巧妙而富有变化。"
"日久弥新","日子长久了，感情却更加深厚了。"
"相向而行","朝相反的方向行进。与相对而行意思相近。"
"言简意赅","简：简单，简练。赅：完备。语言简练，意思完备。形容说话、写文章简明扼要。"
"白云苍狗","天上的白云顷刻变得像黑狗。形容世事变化无常。原作“白衣苍狗”。语本唐·杜甫《可叹》诗：“天上浮云如白衣，斯须改变如苍狗。”"
"百花齐放","1. 千百种花一起开放。 2. 比喻文学艺术上的不同形式和风格自由地发展。"
"杀鸡取卵","卵：蛋。为了得到蛋，不惜把鸡杀了。比喻贪图眼前微小的好处而损害长远的利益。"
"汪洋恣肆","形容文章、言论书法等气势豪放，潇洒自如。同“汪洋自肆”。"
"逸闻轶事","指不见于官家史书记载、已经散失、不为人详知的传闻和故事。"
"春秋笔法","古人认为孔子修订《春秋》，其增一字、减一字都含褒贬。 后用“春秋笔法”指文字简炼、文笔隐晦曲折而意含褒贬的写作手法。"
"妙手回春","妙手：技术高超的人。回春：使春天返回，比喻重新获得生机。形容医生医术高明，使病危的人痊愈。常用来赞扬医术高明的医生。"
"不惜血本","为了达到目的不吝惜所花费的代价。"
"自投罗网","投：进入。罗网：捕捉鱼鸟的器具，指别人设下的圈套。自己投入罗网。今比喻自己进入别人预先设下的圈套，陷入绝境。"
"孤注一掷","注：赌注。孤注：把全部赌资一次性投作赌注，以求快速翻本。掷：投掷骰子。常比喻危急时倾尽全部力量做最后一次冒险，以求侥幸成功。"
"追悔莫及","追悔：想到过去感到悔恨。莫：不。及：达到，到。后悔也来不及了。"
"招兵买马","旧时指组织或扩充武装力量。后比喻组织或扩充人力。"
"变幻无常","变化没有规律，令人无法捉摸。"
"有备无患","备：准备。患：灾难。有了一定的准备，就能消除隐患。"
"化整为零","把整体分散为许多零散部分。"
"轻描淡写","原指绘画时用浅淡颜色轻轻描绘。 后指叙述或处理事情时着力不多，轻轻带过或不加重视。"
"不可估量","难以估计。"
"敷衍了事","敷衍：不认真，应付。了：了结。做事不认真，不负责，表面上应付一下就算完事。"
"前仆后继","前面的倒下了，后面的继续冲上去。形容不怕牺牲，勇往直前。"
"隐晦曲折","指说话或写文章不直截了当，隐约含糊，让人难以明白。"
"钟灵毓秀","凝聚了天地间的灵气，孕育出优秀的人物。指某地山川秀美，人才辈出。"
"不切实际","指不符合实际。"
"独具慧眼","慧眼：指敏锐的眼力。比喻具有与众不同的眼光。"
"危言耸听","危言：使人吃惊的话。耸听：使人听了吃惊。故意说些惊人的话，让人听了震动和害怕。"
"转败为胜","由失败变为胜利。"
"对症下药","1. 针对病症用药。 2. 比喻针对问题症结所在，做有效处理。"
"沸反盈天","像开锅的水一样翻滚，充满了空间。形容声音嘈杂喧闹。"
"背水一战","指前临大敌，背靠江河，没有任何出路，只有决一死战才能生存。比喻在绝境中为寻求出路而拼死一战。"
"引以为戒","戒：鉴戒，警诫。把过去的教训作为警诫，以免重犯。"
"世风日下","指社会风气一天不如一天。"
"添砖加瓦","添上砖和瓦。比喻为宏大的事业尽一点微小的力量。"
"不可抗拒","无法抗拒。"
"裹足不前","裹：包上，缠住。包缠住脚不前进。形容因为有所顾虑或思想保守而停滞不前。"
"开枝散叶","1、人的生殖繁衍，传递祖先血脉。2、人类文明传之四海，使其生生不息。3种下数秒后，树苗茁壮成长，长成参天大树。这是词语的本意。"
"得天独厚","天：自然，天然。厚：优越。具有特殊的优越的天然条件。"
"阿谀奉承","阿谀：巴结，拍马。奉承：恭维，讨好。形容巴结讨好有权有势的人。"
"积厚流光","积累的功业越深厚，则流传给后人的恩德越广。"
"反客为主","1.变客人的位置为主人的位置。指颠倒了主客关系。 2.比喻变配角为主角。 3.比喻变被动为主动。"
"前赴后继","前面的人上去后，后面的人又紧跟上。形容继续不断地奋勇向前。"
"空穴来风","有了孔洞才招进风来。"
"开花结果","比喻事业、工作、学习等已经取得良好效果。"
"一叶知秋","从一片树叶的凋落，知道秋天的到来。"
"云泥之别","天与地的差别。比喻极大的差别。"
"不足为奇","不值得奇怪。指事物平常，没有什么特别的。"
"力所不逮","力量或能力不能达到或做到。"
"据为己有","据：占据。把不是自己的东西占为自己所有。"
"无往不利","所到之处，没有不顺利的。指处处都行得通，办得成。"
"天壤之别","壤：地下。别：差别。天上和地下的差别。比喻差别极大。"
"毫不例外","一点都不例外，当然也就全然一致。"
"浑然一体","浑然：混同的样子。融合成为一个整体。形容完整不可分割。"
"外强中干","中：内里。干：空虚。外表强大，实际上里面很虚弱。"
"欣喜若狂","若：好像。高兴得像发了狂。形容高兴到了极点。"
"因小失大","为了小的利益，错失大的成果，或造成大的损失。"
"焕然一新","焕然：鲜明、有光彩的样子。一：完全。光亮，面貌全新。形容光彩夺目，给人一种崭新感觉的新气象。"
"朴实无华","质朴诚实而不浮华。"
"仅此而已","只是这样；只是这一点，没有其他。"
"拔地而起","像从地面上突然长出来的一样。形容高高耸立。"
"虚与委蛇","指对人虚情假意，敷衍应付。"
"众口铄金","在众口一词的贬抑下，黄金都将熔化。"
"东躲西藏","到处躲藏。"
"步履维艰","1.行走困难。 2.比喻事情受阻而进展困难。"
"独具匠心","匠心：巧妙的心思。具有独特的想法。"
"自相残杀","自己人内部互相残杀。"
"如是而已","就是这样罢了。"
"畅所欲言","畅：痛快，尽情。把心里要讲的话痛快地全部讲出来。"
"绚丽多彩","灿烂美丽，丰富多彩。"
"自取灭亡","自己选择灭亡。自己的行为导致自身灭亡。"
"每况愈下","况：由比照而显明。愈：更加，越发。情况越来越坏。"
"别有匠心","具有巧妙的、与众不同的构思。"
"一言九鼎","九鼎：传说中夏禹所铸的九个鼎，象征九州。一句话的分量有九鼎那么重。形容说话极有分量，能起决定作用。"
"胡编乱造","胡乱编造。"
"沉渣泛起","沉底的渣滓又浮上水面。比喻已经绝迹的腐朽东西又重新出现。"
"黯然失色","黯然：不明亮的样子。失色：失去本来的色彩。原形容心情不好，脸色难看。现形容相比之下显得暗淡无光，大为逊色。"
"擦肩而过","没有抓住机会。"
"逝水流年","指飞快消逝、一去不返的岁月。"
"众望所归","大家的希望归于一处。形容得到众人的敬仰、信任。"
"不可捉摸","无法揣测和估量。指让人猜测不透，无法把握。"
"知之甚少","知：了解；之：代词；甚：太；少：少。对某方面知道的太少。"
"龙蛇混杂"," "
"断章取义","断：割断。章：篇章。引用别人的诗文或谈话，不顾全文或原意，孤立地截取片段。"
"耸人听闻","耸：惊动。多指故意夸大或捏造事实，使人听了大吃一惊。"
"愈演愈烈","变得越来越严重。"
"九死不悔","多次从死亡线上生还终不悔恨。形容意念坚定，虽历千危万险，也决不动摇。"
"蜂拥而上","像蜂群一样拥上去。形容一窝蜂、乱哄哄地拥上去。"
"千变万化","形容变化极多。"
"日积月累","一天天、一月月地逐渐积累。形容长时间地、不断地积累。"
"太阿倒持","倒拿着宝剑，把剑柄给别人，锋刃对着自己。指轻易地将权力交给别人，自己反受其害。"
"通俗易懂","指内容阐述或论述浅显，容易为人理解和接受。"
"细枝末节","细枝：细小的枝条，比喻细小的事情。末节：小节。比喻事情或问题细小而无关紧要的部分。"
"心灰意冷","灰心丧气，意志消沉。"
"翻天覆地","翻：翻转，翻过来。覆：底朝上倒过来。把天和地翻转过来，换了位置。比喻变化极大。"
"一盘散沙","比喻人心和力量分散，难以组织或不团结。"
"故步自封","故步：旧的步法，引申指旧方法。封：限制在一定的范围内。迈着原来的步子，自己把自己限制在本来的地方。比喻守着老一套，安于现状，不想改革，不求进步。"
